Datetime,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,MACD,MACDs,RSI,trend_long_ok_current,trend_short_ok_current,macd_up_ok_current,macd_down_ok_current,rsi_up_ok_current,rsi_down_ok_current,buy_signal_current,sell_signal_current,signal_current,matches_criteria_current,trend_long_ok_aggressive,trend_short_ok_aggressive,macd_up_ok_aggressive,macd_down_ok_aggressive,rsi_up_ok_aggressive,rsi_down_ok_aggressive,buy_signal_aggressive,sell_signal_aggressive,signal_aggressive,matches_criteria_aggressive,trend_long_ok_conservative,trend_short_ok_conservative,macd_up_ok_conservative,macd_down_ok_conservative,rsi_up_ok_conservative,rsi_down_ok_conservative,volume_ok_conservative,buy_signal_conservative,sell_signal_conservative,signal_conservative,matches_criteria_conservative
2025-06-24 12:15:00-04:00,606.09,606.595,606.04,606.492,1287000,602.805,598.5156,599.7289,2.3531,2.185,76.6613,False,True,False,False,False,False,False,False,HOLD,False,False,True,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-24 12:30:00-04:00,606.5,607.175,606.48,607.13,1845876,603.2435,598.79,599.7607,2.372,2.2224,78.3847,False,True,False,False,False,False,False,False,HOLD,False,False,True,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-24 12:45:00-04:00,607.13,607.17,606.32,606.6399,1377691,603.6495,599.042,599.7846,2.3207,2.242,73.8718,False,True,False,False,False,False,False,False,HOLD,False,False,True,False,False,False,False,False,False,HOLD,False,False,True,False,False,False,False,False,False,False,HOLD,False
2025-06-24 13:00:00-04:00,606.65,606.93,606.55,606.8101,1446753,604.0646,599.2905,599.8062,2.2676,2.2471,74.4226,False,True,False,False,False,False,False,False,HOLD,False,False,True,False,False,False,False,False,False,HOLD,False,False,True,False,False,False,False,False,False,False,HOLD,False
2025-06-24 13:15:00-04:00,606.805,606.9601,606.3,606.33,1813053,604.4356,599.5195,599.8231,2.1618,2.2301,69.9442,False,True,False,True,False,False,False,False,HOLD,False,False,True,False,True,False,False,False,True,SELL,True,False,True,False,True,False,False,False,False,False,HOLD,False
2025-06-24 13:30:00-04:00,606.34,606.95,606.33,606.865,1082184,604.8168,599.7645,599.8443,2.097,2.2035,71.9684,False,True,False,False,False,False,False,False,HOLD,False,False,True,False,False,False,False,False,False,HOLD,False,False,True,False,False,False,False,False,False,False,HOLD,False
2025-06-24 13:45:00-04:00,606.865,607.36,606.77,607.1701,1359598,605.2199,600.0359,599.8642,2.0467,2.1721,73.0819,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-24 14:00:00-04:00,607.18,607.455,606.95,606.955,2049296,605.5616,600.3014,599.8867,1.9668,2.1311,70.9425,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-24 14:15:00-04:00,606.96,607.215,606.96,607.0,1068306,605.9056,600.572,599.9098,1.8854,2.0819,71.1328,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-24 14:30:00-04:00,607.02,607.33,606.87,607.1541,1263120,606.0148,600.8415,599.9333,1.8124,2.028,71.814,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
